"Origin_cont","Destin_cont","Agriculture","Authorities-Stakeholders","Diverse","Environment","Fishery","Forestry","Health","Public and social welfare"
"AS","AF",2105.68187393,78.71671006,0,0,0,0,0,0
"NAm","AF",482.851068696667,308.975665953333,0.0102998416666667,0,0,0,0,0
"SA","AF",863.030402696667,800.046062223333,191.051939841667,0.10354125,0,0,0,0
"AF","AS",39.335906,0,34715.94306736,0,2.7327705,0,0,5.85176953
"AS","AS",1302.363839975,352.67320635,0,196.3468572,2.7327705,0,0,0
"EUR","AS",1.624368595,0.0146597,0,0,0,0,0,0
"NAm","AS",1951.59701590667,12.76763197,216.075317255,4.82398315,0,0.000181445,1.06178416,45.337973
"SA","AS",3551.34791136667,20.39323089,1428.397927405,0,0.44691625,0.000181445,0.637405,2132.56250478
"AF","EUR",81.9053535066667,16.9680533408333,316.53119753,0,0.21432993,0,0,12.9415149333333
"AS","EUR",711.774470206667,670.441191849167,258.58148011,1.1954371,2.772152605,23.45999709,0.676491,53.5494629383333
"EUR","EUR",2629.46533438667,76.2252711416667,1342.6630408,0,0.036788175,111.08690509,11.71796158,43.292570815
"NAm","EUR",5734.81240277667,487.487101490833,36.44228025,4.419303,7.6554173,20.262725,1670.05492979,58.29327515
"OC","EUR",675.868114,6.1018111875,0,0,0.00039038,0,0,0.0992537333333333
"SA","EUR",405.471991986667,86.43811342,0.91966423,0,3.0657095,0,0,17.330334
"AF","NAm",5804.20951221333,3289.2035042675,4924.64156624417,55.8523006533333,144.15312403,1451.328687,15.65478038,245.7375172675
"AS","NAm",10962.5229645933,3742.4001154025,27360.5279353042,63.3185830733333,61.55263715,3799.339729035,0.17281589,273463.357427458
"EUR","NAm",8054.92747621333,6374.28448609583,3122.80555504417,53.89188274,146.26219018,8729.311546985,0,1466.6011982375
"NAm","NAm",8025.3562193,1254.25929437917,9.22837459,1.297322905,116.59758,5.632149,0,0.097197555
"OC","NAm",18.3940845,232.810412798333,20.1861605125,39.5610045833333,0,0,0.03348256,592.4410061875
"SA","NAm",4731.00647526,1096.62114672667,6.83207262,1.210145705,0,0,7.213882,1689.615941155
"AF","OC",1947.3374008175,18.0299139158333,52.10153228,45.36501091,0,90.3630738333333,0,1.7506278
"AS","OC",1753.1748085075,97.6516826275,161.425927866667,46.3436507,0,85.0125613333333,1.8763,8.09664245
"EUR","OC",2859.05032547583,84.1413754075,176.050916896667,48.3910501,0,90.3630738333333,1.8763,1.7506278
"NAm","OC",263.867272195833,57.2727784091667,138.223920516667,45.4103453,0,0,12.0107281,0.0927338
"OC","OC",56.25186701,348.74903251,4.21166667,0.03162941,0,0,47.27940867,0
"SA","OC",464.105330933333,578.06654926,88.11878285,1.07926122,0,0,19.407732,0
"AF","SA",2779.40358239,12.9927570933333,3903.571863705,0,0,0.0000260533333333333,20.82266522,1.71630112
"AS","SA",114.45778082,1.568188395,0,0.00009358,0,0.828987553333333,0,0
"EUR","SA",113.937336,0.078707625,0,0,0,0.828987553333333,0,0
"NAm","SA",134.988874135,38.8278517216667,32.202429075,0,0,0.00012584,0,0
"OC","SA",113.937336,0.04974016,0,0,0,0,0,0
"SA","SA",133.188338375,83.904437125,30.667938955,0,0,0,0,0
"AF","AF",0,0.87191585,0,0,0,0,0,0
"EUR","AF",0,0.985725713333333,0.00425993666666667,0,0,0,0,0
"OC","AF",0,124.58444602,0,2145.82667793,0,0,0,0
