"Origin_cont","TenYear","cost_per_pub"
"AF",1960,0.03111806
"AF",1970,3.33872826166667
"AF",1980,209.86772185963
"AF",1990,54.4336894230159
"AF",2000,377.518294910012
"AF",2010,268.161339867444
"AS",1960,0.50197263
"AS",1970,4.30168578472222
"AS",1980,92.0184437926515
"AS",1990,86.2015761957407
"AS",2000,2753.67590221461
"AS",2010,62.2091441328593
"EUR",1960,0.03504976
"EUR",1970,156.547764118056
"EUR",1980,149.315149305175
"EUR",1990,75.6228793646354
"EUR",2000,342.572234887633
"EUR",2010,76.1059213858556
"NAm",1960,0.04425588
"NAm",1970,29.73388448
"NAm",1980,19.1733370077778
"NAm",1990,119.130392524444
"NAm",2000,26.4573780068827
"NAm",2010,124.319603067544
"OC",1980,5.548609085
"OC",1990,9.59818645625
"OC",2000,86.8280970244048
"OC",2010,26.6116038085069
"SA",1960,1.06037919
"SA",1970,16.0390123375
"SA",1980,87.8900590378571
"SA",1990,133.548427439565
"SA",2000,73.8043535175676
"SA",2010,89.6084192166667
"OC",1970,0
"OC",1960,0
