"Destin_cont","TenYear","cost_per_pub"
"AF",1960,2.0765025
"AF",1970,3.7377045
"AF",1980,7.24615147
"AF",1990,76.9525753330303
"AF",2000,167.655989521111
"AF",2010,168.994830973158
"AS",1960,0.9688955
"AS",1970,3.83970203
"AS",1980,156.463901778571
"AS",1990,170.332923118485
"AS",2000,543.708916829355
"AS",2010,484.306203550185
"EUR",1970,46.809909005
"EUR",1980,61.452777134
"EUR",1990,120.371627399048
"EUR",2000,63.8044827744
"EUR",2010,96.0906257511207
"NAm",1960,0.03111806
"NAm",1970,283.470059656667
"NAm",1980,271.955157628148
"NAm",1990,205.696884078
"NAm",2000,3945.08119385764
"NAm",2010,293.061897746234
"OC",1960,0.07930564
"OC",1970,34.9877171775
"OC",1980,118.93510903
"OC",1990,63.6034096070968
"OC",2000,66.8029059398039
"OC",2010,50.3031975673684
"SA",1990,1.01841925
"SA",2000,195.714075025
"SA",2010,163.6158858525
"EUR",1960,0
"SA",1970,0
"SA",1980,0
"SA",1960,0
